sample,local_biosample,geo_loc_name_resolved,lat_lon_resolved,env_medium_resolved,env_local_scale_resolved,collection_date_resolved,soil_type_remote,depth_remote,has_local_metadata,has_remote_metadata,richness,genus_richness,shannon_diversity,simpson_diversity,evenness,unclassified_proportion,dominant_taxon_proportion,dominant_phylum,dominant_phylum_proportion,dominant_genus,dominant_genus_proportion,genus_pc1,genus_pc2,genus_cluster_k3,phylum__p_proteobacteria,phylum__p_actinobacteria,phylum__p_planctomycetes,phylum__p_firmicutes,phylum__p_bacteroidetes,phylum__p_acidobacteria,phylum__p_verrucomicrobia,phylum__p_chloroflexi,genus__g_streptomyces,genus__g_pseudomonas,genus__g_luteitalea,genus__g_gemmata,genus__g_bradyrhizobium,genus__g_pirellula,genus__g_bacillus,genus__g_acinetobacter,genus__g_homo,genus__g_sphingobacterium,genus__g_verrucomicrobium,genus__g_mycobacterium
SRR12376372,,"India: Alwar, Rajasthan",27.53 N 76.16 E,Soil,Agricultural field,2017-11-10,,30cm,False,True,67,124,4.196486487811785,0.9684698887437502,0.8705894937249472,0.9487000000000001,0.10067114093959753,P|Proteobacteria,0.6310272536687634,G|Acinetobacter,0.10067114093959753,0.34068565339302326,0.06516380289353722,1,0.6310272536687634,0.2306079664570232,0.0083857442348008,0.0209643605870021,0.010482180293501,0.010482180293501,0.0062893081761006,0.0020964360587002,0.0738255033557048,0.040268456375839,0.0100671140939597,0.0033557046979865,0.0302013422818792,0.0,0.0167785234899329,0.1006711409395975,0.0872483221476512,0.0,0.0,0.0100671140939597
SRR13342225,SAMN17201847,India,20.5937 N 78.9629 E,,,2019-09-22,,,True,True,222,207,4.00653034819353,0.9612300613976161,0.7513110110462476,0.1361,0.11363636363636344,P|Actinobacteria,0.6808086181673093,G|Acidothermus,0.11363636363636344,-0.11011765343813805,-0.6287337369274186,3,0.1443011038701954,0.6808086181673093,0.0005319856363878,0.1115839872323447,0.0021279425455512,0.0110387019550472,0.0001329964090969,0.0269982710466817,0.0073603211776513,0.0531950485112076,0.0090331214452994,0.0003345600535296,0.0,0.0,0.0970224155235863,0.0003345600535296,0.0043492806958849,0.0,0.0,0.0444964871194378
SRR13396075,SAMN17271210,India,20.5937 N 78.9629 E,,,2019-09-22,,,True,True,86,57,1.3805514523195843,0.6532250096383012,0.34146276187563773,0.0014000000000000002,0.4221235664076953,P|Proteobacteria,0.6072898885430263,G|Sphingobacterium,0.4221235664076953,-0.13989771635196502,-0.5968454466871245,3,0.6072898885430263,0.0008032935033637,0.0003012350637614,0.0273119791143689,0.3621849583291495,0.0,0.0001004116879204,0.0001004116879204,0.0,0.0788888888888889,0.0,0.0,0.0,0.0,0.0045679012345679,0.4004938271604939,0.0,0.4225925925925927,0.0,0.0
SRR13396103,SAMN17271293,India,20.5937 N 78.9629 E,,,2019-09-22,,,True,True,218,202,3.993470634688899,0.9606855661891587,0.7523114624840798,0.1359,0.1148964595858382,P|Actinobacteria,0.6810609089697451,G|Acidothermus,0.1148964595858382,-0.11144157562302161,-0.630263449428675,3,0.1420765027322403,0.6810609089697451,0.0005331200852992,0.1136878581900572,0.0021324803411968,0.0110622417699586,0.0001332800213248,0.0271891243502598,0.0071162317858353,0.0535411724839037,0.0088105726872246,0.0003388681802778,0.0,0.0,0.0972551677397491,0.0003388681802778,0.0037275499830565,0.0,0.0,0.0433751270755675
SRR1825760,SAMN03382613,"India:Odisha\, Paradip",20.32 N 86.62 E,,,2014-09-17,,,True,True,501,433,4.724400045105365,0.9799550375410018,0.7782250291118864,0.015700000000000002,0.06714123928166957,P|Proteobacteria,0.46830083565459596,G|Acidiphilium,0.06714123928166957,-0.2719966236850576,-0.25029371294004293,2,0.4683008356545959,0.064066852367688,0.0142618384401114,0.1184401114206127,0.1593314763231197,0.041225626740947,0.0047910863509749,0.0290807799442896,0.0042032862055789,0.0007642338555598,0.0034390523500191,0.0011463507833397,0.0,0.0001910584638899,0.0215896064195643,0.0009552923194497,0.0,0.0005731753916698,0.0003821169277799,0.0005731753916698
SRR23183348,SAMN32860474,India,20.5937 N 78.9629 E,,,2020-12-23,,,True,True,627,510,5.055450934059998,0.9845679713929085,0.8108947511598981,0.019,0.07924662402274343,P|Proteobacteria,0.43533296642817826,G|Luteitalea,0.07924662402274343,-0.5307366186970818,0.10787465902764305,2,0.4353329664281782,0.1198679141441937,0.0706659328563566,0.1292239955971381,0.0465602641717116,0.0608695652173913,0.0277380297193175,0.0396257567418822,0.0042887776983559,0.0091136526090064,0.079699785561115,0.0232308791994281,0.0,0.0334167262330235,0.0298427448177269,0.0028591851322373,0.0001786990707648,0.0014295925661186,0.0268048606147247,0.0016082916368834
SRR23183349,SAMN32860475,India,20.5937 N 78.9629 E,,,2020-12-23,,,True,True,576,469,5.0460770083539925,0.9854504789732742,0.8204199162789855,0.0191,0.06553652569031806,P|Proteobacteria,0.4206073752711495,G|Luteitalea,0.06553652569031806,-0.48889007668652457,0.10798649670379203,2,0.4206073752711495,0.1300433839479392,0.0622559652928416,0.1309110629067244,0.0571583514099782,0.054229934924078,0.0272234273318871,0.0359002169197396,0.0071942446043165,0.008247060887875,0.0658010177224074,0.0221091419547288,0.0,0.030531672223197,0.0445692226706439,0.0026320407088962,0.0003509387611861,0.0014037550447446,0.0263204070889629,0.0017546938059308
SRR23183368,SAMN32860476,India,20.5937 N 78.9629 E,,,2020-12-23,,,True,True,552,471,4.946141504385785,0.9838629090350846,0.8036158476495642,0.013600000000000001,0.07285223367697595,P|Proteobacteria,0.41927422859626223,G|Luteitalea,0.07285223367697595,-0.4968957494878884,0.132900379022743,2,0.4192742285962622,0.1750325945241198,0.0946327683615818,0.098870056497175,0.0329204693611473,0.0578009561060408,0.0195567144719686,0.0379182963928726,0.0077532736044107,0.0124052377670571,0.0730530668504479,0.0425568573397656,0.0,0.0416953824948311,0.012749827705031,0.0029290144727773,0.0001722949689869,0.0010337698139214,0.0201585113714679,0.0029290144727773
SRR26201959,SAMN37571899,India,23.8242 N 87.4542 E,soil,agricultural,2020-12-23,,soil surface,True,True,460,395,4.024747569553933,0.9447460645998553,0.6731601384962227,0.0219,0.14292755051749634,P|Planctomycetes,0.35993428001408295,G|Gemmata,0.14292755051749634,-0.6309938063459087,0.26289782260532857,2,0.1976293862222744,0.0560967022649923,0.3599342800140829,0.0895434808121112,0.0363807064898486,0.0506982748503696,0.0715878418026053,0.0295739936627156,0.0037810290974847,0.0037810290974847,0.0535919776426105,0.1430215354265988,0.0,0.1362814400789085,0.0126582278481012,0.0006575702778234,0.0039454216669406,0.0019727108334703,0.0675653460463587,0.0019727108334703
SRR26201960,SAMN37571898,India,23.8242 N 87.4542 E,soil,agricultural,2020-12-23,,soil surface,True,True,438,391,3.861950556601253,0.9344605882880321,0.647032966146983,0.027200000000000002,0.15864022662889504,P|Planctomycetes,0.4303866798115893,G|Pirellula,0.15864022662889504,-0.6260111004147526,0.2682493963055189,2,0.184905247015007,0.0527987731405411,0.4303866798115893,0.0793077007339248,0.0427209990141307,0.0318764377259283,0.0772264212947748,0.0266184686164968,0.0031404217137729,0.0037385972783011,0.0270674442949005,0.1475998205473305,0.0,0.1591147001644981,0.0052340361896216,0.0013458950201884,0.0077762823388664,0.0007477194556602,0.0765664722596081,0.0022431583669807
SRR26201961,SAMN37571897,India,23.8242 N 87.4542 E,soil,agricultural,2020-12-23,,soil surface,True,True,461,392,4.022828423322686,0.9446954252833211,0.6736982117441112,0.022000000000000002,0.1430688179124136,P|Planctomycetes,0.35934749442553693,G|Gemmata,0.1430688179124136,-0.6303282641522286,0.2634018686226581,2,0.1980988146931111,0.0560967022649923,0.3593474944255369,0.0896608379298204,0.0361459922544302,0.0508156319680788,0.0714704846848961,0.0295739936627156,0.0036243822075782,0.0039538714991762,0.0537067545304777,0.143163097199341,0.0,0.1365733113673806,0.0128500823723229,0.000658978583196,0.0039538714991762,0.0018121911037891,0.0675453047775947,0.0019769357495881
SRR33853917,,India: Jaipur,27.17797 N 75.9605 E,ENVO:00010483,soil as control sample,2024-05-17,,Surface,False,True,211,178,4.160572329491289,0.9455613722432609,0.8029228332504871,0.9194,0.1958955223880603,P|Proteobacteria,0.42175066312997356,G|Streptomyces,0.1958955223880603,0.41563179601256073,0.14635631459274245,1,0.4217506631299735,0.4190981432360743,0.0145888594164456,0.0238726790450928,0.006631299734748,0.0079575596816976,0.0039787798408488,0.0026525198938992,0.1966292134831466,0.0187265917602996,0.0037453183520599,0.0074906367041198,0.0411985018726592,0.0,0.0112359550561798,0.0,0.0955056179775283,0.0,0.0,0.0187265917602996
SRR33963317,,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2022-12-04,,10 cm,False,True,215,199,4.642053755487273,0.9760814885406738,0.8769670195082492,0.8911,0.11660079051383447,P|Proteobacteria,0.5284552845528456,G|Streptomyces,0.11660079051383447,0.4050419509508179,0.17449730509313385,1,0.5284552845528456,0.3929539295392954,0.0149051490514905,0.013550135501355,0.008130081300813,0.0121951219512195,0.0040650406504065,0.002710027100271,0.1166007905138344,0.0494071146245061,0.0138339920948617,0.0098814229249012,0.0415019762845851,0.0,0.0059288537549407,0.0,0.0098814229249012,0.0,0.0019762845849802,0.0158102766798419
SRR33963318,,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2022-12-04,,10 cm from the topsoil,False,True,327,241,4.7324330832942865,0.9772613838581043,0.8628274010287659,0.8672,0.11022576361221816,P|Actinobacteria,0.5662188099808064,G|Streptomyces,0.11022576361221816,0.4192625039698182,0.003003859037181374,1,0.3541266794625721,0.5662188099808064,0.0067178502879078,0.0297504798464491,0.010556621880998,0.0028790786948176,0.0019193857965451,0.0038387715930902,0.1124661246612469,0.0311653116531166,0.002710027100271,0.002710027100271,0.0121951219512195,0.0,0.0149051490514905,0.002710027100271,0.0040650406504065,0.0013550135501355,0.0,0.016260162601626
SRR33963319,,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2023-03-08,,10 cm,False,True,296,237,4.750391911431496,0.9779226812880039,0.8687526817225802,0.8678,0.10443490701001462,P|Proteobacteria,0.4628687690742625,G|Streptomyces,0.10443490701001462,0.4194172866274968,0.04261990987602899,1,0.4628687690742625,0.4526958290946084,0.0091556459816887,0.0193285859613428,0.0081383519837232,0.005086469989827,0.0030518819938962,0.005086469989827,0.1047345767575325,0.0602582496413201,0.0043041606886657,0.0043041606886657,0.0129124820659971,0.0,0.0071736011477762,0.0014347202295552,0.0229555236728838,0.0,0.0,0.0143472022955524
SRR33963320,,India: Thiruvarur,10.7730 N 79.6370 E,Soil,Soil,2023-03-08,,10 cm from the topsoil,False,True,245,242,4.785206679429978,0.9763522224242702,0.8717910310089351,0.903,0.11037891268533817,P|Proteobacteria,0.546091015169195,G|Streptomyces,0.11037891268533817,0.39109109891938937,0.03795738955449722,1,0.546091015169195,0.3757292882147026,0.0093348891481913,0.0210035005834305,0.0105017502917152,0.0058343057176196,0.0023337222870478,0.0035005834305717,0.1111111111111115,0.0762852404643452,0.0049751243781094,0.0049751243781094,0.0232172470978442,0.0,0.0066334991708126,0.0,0.0066334991708126,0.0,0.0,0.0099502487562189
SRR33963321,,India: Neyveli,11.5943 N 79.4571 E,Soil,Soil,2023-10-11,,10 cm from the topsoil,False,True,253,239,4.515254317288487,0.9681674382716048,0.8244835877152853,0.848,0.1250000000000005,P|Actinobacteria,0.5184815184815186,G|Streptomyces,0.1250000000000005,0.3734778373005695,-0.08280544588827227,1,0.3706293706293707,0.5184815184815186,0.0039960039960039,0.0529470529470529,0.0149850149850149,0.0009990009990009,0.0009990009990009,0.0019980019980019,0.129682997118156,0.0619596541786745,0.0,0.0014409221902017,0.0086455331412104,0.0,0.0230547550432277,0.0,0.0072046109510086,0.0,0.0,0.0403458213256485
SRR33963322,,India: Neyveli,11.5943 N 79.4571 E,Soil,Soil,2023-10-10,,10 cm,False,True,250,207,4.368530124257632,0.9596751211171272,0.8191937909372984,0.8575,0.15673981191222622,P|Actinobacteria,0.43542857142857133,G|Streptomyces,0.15673981191222622,0.4457813957721229,0.11669002059980305,1,0.4194285714285713,0.4354285714285713,0.0125714285714285,0.0297142857142857,0.0079999999999999,0.0057142857142857,0.0034285714285714,0.0034285714285714,0.156985871271586,0.0533751962323392,0.0047095761381475,0.0062794348508634,0.032967032967033,0.0,0.0172684458398744,0.0,0.0847723704866564,0.0,0.0,0.0125588697017268
SRR33963323,,India: Namakkal,11.3810 N 78.1658 E,Soil,Soil,2023-01-18,,10 cm from the topsoil,False,True,195,187,4.37544768352019,0.9612822460111867,0.8364283757027211,0.9124,0.1564245810055871,P|Proteobacteria,0.458005249343832,G|Streptomyces,0.1564245810055871,0.42753852861793634,0.10944203471140075,1,0.458005249343832,0.4356955380577427,0.0144356955380577,0.0131233595800524,0.0065616797900262,0.0078740157480314,0.0039370078740157,0.0039370078740157,0.1564245810055871,0.0800744878957172,0.0074487895716946,0.0093109869646182,0.0260707635009311,0.0,0.0055865921787709,0.0093109869646182,0.048417132216015,0.0,0.0,0.0111731843575419
SRR33963324,,India: Erode,11.4975 N 77.1573 E,soil,Soil,2023-09-29,,10 cm from the topsoil,False,True,270,226,4.657566672127422,0.9742851528606027,0.8592448296621471,0.8518000000000001,0.12332838038633027,P|Actinobacteria,0.44648648648648653,G|Streptomyces,0.12332838038633027,0.4204630004554302,0.050565702350468214,1,0.4151351351351352,0.4464864864864865,0.0108108108108108,0.0475675675675675,0.014054054054054,0.0054054054054054,0.0032432432432432,0.0043243243243243,0.1242514970059884,0.0494011976047905,0.0044910179640718,0.0044910179640718,0.0149700598802395,0.0,0.0299401197604791,0.0029940119760479,0.0389221556886228,0.0,0.0,0.0104790419161676
SRR5365029,,India: West Bengal,22.98 N 87.85 E,,,2016-12-29,,,False,True,550,466,4.7303316524905155,0.9761713448806895,0.7698874894367788,0.013300000000000001,0.0875722004844419,P|Proteobacteria,0.43034685346288554,G|Luteitalea,0.0875722004844419,-0.574165211648295,0.09968669669292984,2,0.4303468534628855,0.0721952321771551,0.083380408993334,0.0899333408654389,0.0458705231047339,0.0928708620494859,0.0507287312168116,0.0641735397130267,0.0007585814526834,0.0053100701687843,0.089133320690309,0.0373601365446614,0.0,0.0178266641380618,0.0051204248056134,0.002844680447563,0.0003792907263417,0.0011378721790252,0.0659965863834628,0.0005689360895126
SRR8468865,,"India: Ghazipur, Uttar Pradesh",25.913824 N 83.529715 E,,,2018-01-19,,,False,True,559,430,4.92652633460983,0.9792023130988233,0.8124506665492665,0.38170000000000004,0.09669992325402885,P|Proteobacteria,0.6929375639713409,G|Luteitalea,0.09669992325402885,-0.1832612513543273,-0.1659412228707635,2,0.693079443079443,0.0327600327600327,0.0008190008190008,0.1128173628173628,0.0348075348075348,0.069000819000819,0.0016380016380016,0.0102375102375102,0.0092592592592592,0.0433501683501682,0.1060606060606058,0.0,0.0004208754208754,0.0,0.0702861952861951,0.0117845117845117,0.0096801346801346,0.0004208754208754,0.0,0.0008417508417508
SRR9093167,,India,34.49 N 75.49 E,,,2015-10-15,,,False,True,59,105,3.7883485164444486,0.9266319444444441,0.8140053269504592,0.9537,0.24583333333333368,P|Proteobacteria,0.7401960784313729,G|Bradyrhizobium,0.24583333333333368,0.3287778226443758,0.1793386604379559,1,0.7401960784313729,0.1446078431372549,0.0122549019607843,0.0122549019607843,0.0098039215686274,0.017156862745098,0.0073529411764705,0.0024509803921568,0.0416666666666667,0.0416666666666667,0.0041666666666666,0.0083333333333333,0.2458333333333336,0.0,0.0,0.0,0.0625000000000001,0.0,0.0,0.0083333333333333
SRR9830591,,India,NOT APPLICABLE,,,2017-08-07/2018-01-29,,,False,True,331,239,4.641233527957112,0.9717940985063726,0.8474873399495522,0.8054000000000001,0.1168658698539182,P|Proteobacteria,0.6101048617731175,G|Bradyrhizobium,0.1168658698539182,0.4075667732216483,0.18625069661493407,1,0.6101048617731175,0.3117254528122022,0.0085795996186844,0.0095328884652049,0.0085795996186844,0.0095328884652049,0.0047664442326024,0.0019065776930409,0.0909090909090913,0.0294117647058824,0.0053475935828877,0.0040106951871657,0.1176470588235299,0.0,0.0026737967914438,0.0,0.0227272727272728,0.0,0.0013368983957219,0.0160427807486631
