sample,richness,genus_richness,shannon_diversity,simpson_diversity,evenness,unclassified_proportion,dominant_taxon_proportion,dominant_phylum,dominant_phylum_proportion,dominant_genus,dominant_genus_proportion
SRR12376372,67,124,4.196486487811785,0.9684698887437502,0.8705894937249472,0.9487000000000001,0.10067114093959753,P|Proteobacteria,0.6310272536687634,G|Acinetobacter,0.10067114093959753
SRR13342225,222,207,4.00653034819353,0.9612300613976161,0.7513110110462476,0.1361,0.11363636363636344,P|Actinobacteria,0.6808086181673093,G|Acidothermus,0.11363636363636344
SRR13396075,86,57,1.3805514523195843,0.6532250096383012,0.34146276187563773,0.0014000000000000002,0.4221235664076953,P|Proteobacteria,0.6072898885430263,G|Sphingobacterium,0.4221235664076953
SRR13396103,218,202,3.993470634688899,0.9606855661891587,0.7523114624840798,0.1359,0.1148964595858382,P|Actinobacteria,0.6810609089697451,G|Acidothermus,0.1148964595858382
SRR1825760,501,433,4.724400045105365,0.9799550375410018,0.7782250291118864,0.015700000000000002,0.06714123928166957,P|Proteobacteria,0.46830083565459596,G|Acidiphilium,0.06714123928166957
SRR23183348,627,510,5.055450934059998,0.9845679713929085,0.8108947511598981,0.019,0.07924662402274343,P|Proteobacteria,0.43533296642817826,G|Luteitalea,0.07924662402274343
SRR23183349,576,469,5.0460770083539925,0.9854504789732742,0.8204199162789855,0.0191,0.06553652569031806,P|Proteobacteria,0.4206073752711495,G|Luteitalea,0.06553652569031806
SRR23183368,552,471,4.946141504385785,0.9838629090350846,0.8036158476495642,0.013600000000000001,0.07285223367697595,P|Proteobacteria,0.41927422859626223,G|Luteitalea,0.07285223367697595
SRR26201959,460,395,4.024747569553933,0.9447460645998553,0.6731601384962227,0.0219,0.14292755051749634,P|Planctomycetes,0.35993428001408295,G|Gemmata,0.14292755051749634
SRR26201960,438,391,3.861950556601253,0.9344605882880321,0.647032966146983,0.027200000000000002,0.15864022662889504,P|Planctomycetes,0.4303866798115893,G|Pirellula,0.15864022662889504
SRR26201961,461,392,4.022828423322686,0.9446954252833211,0.6736982117441112,0.022000000000000002,0.1430688179124136,P|Planctomycetes,0.35934749442553693,G|Gemmata,0.1430688179124136
SRR33853917,211,178,4.160572329491289,0.9455613722432609,0.8029228332504871,0.9194,0.1958955223880603,P|Proteobacteria,0.42175066312997356,G|Streptomyces,0.1958955223880603
SRR33963317,215,199,4.642053755487273,0.9760814885406738,0.8769670195082492,0.8911,0.11660079051383447,P|Proteobacteria,0.5284552845528456,G|Streptomyces,0.11660079051383447
SRR33963318,327,241,4.7324330832942865,0.9772613838581043,0.8628274010287659,0.8672,0.11022576361221816,P|Actinobacteria,0.5662188099808064,G|Streptomyces,0.11022576361221816
SRR33963319,296,237,4.750391911431496,0.9779226812880039,0.8687526817225802,0.8678,0.10443490701001462,P|Proteobacteria,0.4628687690742625,G|Streptomyces,0.10443490701001462
SRR33963320,245,242,4.785206679429978,0.9763522224242702,0.8717910310089351,0.903,0.11037891268533817,P|Proteobacteria,0.546091015169195,G|Streptomyces,0.11037891268533817
SRR33963321,253,239,4.515254317288487,0.9681674382716048,0.8244835877152853,0.848,0.1250000000000005,P|Actinobacteria,0.5184815184815186,G|Streptomyces,0.1250000000000005
SRR33963322,250,207,4.368530124257632,0.9596751211171272,0.8191937909372984,0.8575,0.15673981191222622,P|Actinobacteria,0.43542857142857133,G|Streptomyces,0.15673981191222622
SRR33963323,195,187,4.37544768352019,0.9612822460111867,0.8364283757027211,0.9124,0.1564245810055871,P|Proteobacteria,0.458005249343832,G|Streptomyces,0.1564245810055871
SRR33963324,270,226,4.657566672127422,0.9742851528606027,0.8592448296621471,0.8518000000000001,0.12332838038633027,P|Actinobacteria,0.44648648648648653,G|Streptomyces,0.12332838038633027
SRR5365029,550,466,4.7303316524905155,0.9761713448806895,0.7698874894367788,0.013300000000000001,0.0875722004844419,P|Proteobacteria,0.43034685346288554,G|Luteitalea,0.0875722004844419
SRR8468865,559,430,4.92652633460983,0.9792023130988233,0.8124506665492665,0.38170000000000004,0.09669992325402885,P|Proteobacteria,0.6929375639713409,G|Luteitalea,0.09669992325402885
SRR9093167,59,105,3.7883485164444486,0.9266319444444441,0.8140053269504592,0.9537,0.24583333333333368,P|Proteobacteria,0.7401960784313729,G|Bradyrhizobium,0.24583333333333368
SRR9830591,331,239,4.641233527957112,0.9717940985063726,0.8474873399495522,0.8054000000000001,0.1168658698539182,P|Proteobacteria,0.6101048617731175,G|Bradyrhizobium,0.1168658698539182
