sample,species_richness_raw,genus_richness_raw,shannon_diversity_raw,simpson_diversity_raw,evenness_raw,dominant_taxon_proportion_raw,unclassified_proportion_raw,classification_completeness_raw,genus_hellinger_centroid_distance_raw,species_richness_minmax,genus_richness_minmax,richness_combined_minmax,shannon_diversity_minmax,simpson_diversity_minmax,evenness_minmax,dominance_balance_minmax,classification_completeness_minmax,species_richness_percentile,genus_richness_percentile,richness_combined_percentile,shannon_diversity_percentile,simpson_diversity_percentile,evenness_percentile,dominance_balance_percentile,classification_completeness_percentile,typicality_percentile
SRR12376372,67,124,4.196486487811785,0.9684698887437502,0.8705894937249472,0.1006711409395975,0.9487,0.05130000000000001,0.6085268289032761,0.014084507042253521,0.1479028697571744,0.08099368839971396,0.7662617847056291,0.9488883550574414,0.9880906161017355,0.9014697360324814,0.005250446287934479,0.08333333333333333,0.125,0.10416666666666666,0.375,0.5,0.9166666666666666,0.7499999999999999,0.08333333333333333,0.6249999999999999
SRR13342225,222,207,4.00653034819353,0.961230061397616,0.7513110110462476,0.1136363636363634,0.1361,0.8639,0.7982499706456712,0.2869718309859155,0.33112582781456956,0.30904882940024253,0.7145716254068248,0.9270964456032194,0.7653501224854702,0.8651105271541031,0.8585529770030452,0.3333333333333333,0.3541666666666667,0.34375,0.20833333333333334,0.375,0.20833333333333334,0.5833333333333334,0.5833333333333334,0.16666666666666666
SRR13396075,86,57,1.3805514523195843,0.6532250096383012,0.3414627618756377,0.4221235664076953,0.0014,0.9986,1.101488354959921,0.04753521126760563,0.0,0.023767605633802816,0.0,0.0,0.0,0.0,1.0,0.125,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,0.041666666666666664
SRR13396103,218,202,3.993470634688899,0.9606855661891588,0.7523114624840798,0.1148964595858382,0.1359,0.8641,0.7997206501477451,0.27992957746478875,0.3200883002207506,0.3000089388427697,0.7110178646660152,0.9254575128340154,0.767218364284807,0.8615767589416079,0.8587629948545625,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.16666666666666666,0.3333333333333333,0.25,0.5416666666666666,0.625,0.12500000000000003
SRR1825760,501,433,4.724400045105365,0.9799550375410018,0.7782250291118864,0.0671412392816695,0.0157,0.9843,0.8980126472647821,0.778169014084507,0.8300220750551877,0.8040955445698473,0.9099156614760389,0.9834586991681498,0.8156093271174218,0.9954997983434194,0.9849837236165073,0.7916666666666666,0.8333333333333334,0.8125,0.6666666666666666,0.875,0.3333333333333333,0.9583333333333333,0.875,0.08333333333333329
SRR23183348,627,510,5.055450934059998,0.9845679713929084,0.8108947511598981,0.0792466240227434,0.019,0.981,0.6380530771206263,1.0,1.0,1.0,1.0,0.9973436486307556,0.8766167263721726,0.9615518884117504,0.9815184290664706,1.0,1.0,1.0,1.0,0.9583333333333334,0.4583333333333333,0.875,0.8333333333333334,0.4583333333333333
SRR23183349,576,469,5.0460770083539925,0.9854504789732742,0.8204199162789855,0.065536525690318,0.0191,0.9809,0.6165382188703108,0.9102112676056338,0.9094922737306843,0.909851770668159,0.9974492021475467,1.0,0.8944040081413164,1.0,0.9814134201407119,0.9583333333333334,0.9166666666666666,0.9375,0.9583333333333334,1.0,0.625,1.0,0.7916666666666666,0.5833333333333334
SRR23183368,552,471,4.946141504385785,0.9838629090350846,0.8036158476495642,0.0728522336769759,0.0136,0.9864,0.6193604249970583,0.8679577464788732,0.9139072847682119,0.8909325156235426,0.9702551239245203,0.99522140809563,0.8630241108017327,0.9794840890124884,0.9871889110574399,0.875,0.9583333333333334,0.9166666666666667,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.5416666666666666
SRR26201959,460,395,4.024747569553933,0.9447460645998552,0.6731601384962227,0.1429275505174963,0.0219,0.9781,0.7489358559210867,0.7059859154929577,0.7461368653421634,0.7260613904175606,0.7195288280326164,0.8774795488891974,0.6194112780484178,0.7829673656353747,0.9784731702194686,0.7083333333333334,0.75,0.7291666666666667,0.2916666666666667,0.20833333333333334,0.125,0.3333333333333333,0.75,0.2916666666666667
SRR26201960,438,391,3.861950556601253,0.934460588288032,0.647032966146983,0.158640226628895,0.0272,0.9728,0.7877387691077755,0.6672535211267606,0.7373068432671082,0.7022801821969344,0.675229109424917,0.8465202237886505,0.570621428151156,0.7389032962295206,0.9729076971542581,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.125,0.125,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.2083333333333333
SRR26201961,461,392,4.022828423322686,0.9446954252833212,0.6736982117441112,0.1430688179124136,0.022,0.978,0.7482380533466463,0.7077464788732394,0.739514348785872,0.7236304138295557,0.71900659708704,0.8773271243425924,0.6204160753776998,0.782571200383174,0.9783681612937098,0.75,0.7083333333333334,0.7291666666666667,0.25,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.7083333333333334,0.3333333333333333
SRR33853917,211,178,4.160572329491289,0.9455613722432608,0.8029228332504871,0.1958955223880603,0.9194,0.0806,0.5561615608343291,0.2676056338028169,0.2671081677704194,0.2673569007866181,0.7564889573129496,0.8799336281776926,0.8617299765549934,0.6344258713511077,0.03601806153523049,0.20833333333333334,0.16666666666666666,0.1875,0.3333333333333333,0.25,0.375,0.12500000000000003,0.125,0.7499999999999999
SRR33963317,215,199,4.642053755487273,0.9760814885406738,0.8769670195082492,0.1166007905138344,0.8911,0.1089,0.5051256416472272,0.2746478873239437,0.31346578366445915,0.2940568354942014,0.8875078949433083,0.9717993010850292,1.0,0.8567971939732135,0.0657355875249396,0.25,0.25,0.25,0.5833333333333334,0.625,1.0,0.5,0.25,1.0
SRR33963318,327,241,4.732433083294287,0.9772613838581043,0.8628274010287659,0.1102257636122181,0.8672,0.13280000000000003,0.5649451173971952,0.47183098591549294,0.40618101545253865,0.4390060006840158,0.912101581996814,0.9753507907399085,0.9735956936327779,0.8746750924206476,0.09083272078126643,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.75,0.75,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666
