sample,P|Proteobacteria,P|Actinobacteria,P|Firmicutes,P|Deinococcus-Thermus,P|Cyanobacteria,P|Chloroflexi,P|Armatimonadetes,P|Tenericutes,P|Coprothermobacterota,P|Gemmatimonadetes,P|Bacteroidetes,P|Chlorobi,P|Ignavibacteriae,P|Fibrobacteres,P|Planctomycetes,P|Verrucomicrobia,P|Kiritimatiellaeota,P|Lentisphaerae,P|Chlamydiae,P|Acidobacteria,P|Nitrospirae,P|Spirochaetes,P|Synergistetes,P|Aquificae,P|Thermotogae,P|Candidatus Saccharibacteria,P|Candidatus Gracilibacteria,P|Fusobacteria,P|Calditrichaeota,P|Elusimicrobia,P|Dictyoglomi,P|Thermodesulfobacteria,P|Chrysiogenetes,P|Deferribacteres,P|Chordata,P|Euryarchaeota,P|Thaumarchaeota
SRR12376372,0.7943722387324241,0.48021658286342345,0.14479074758768984,0.06475239082381763,0.04578685464956302,0.04578685464956302,0.0,0.0,0.0,0.11215443081840888,0.10238251947232524,0.0,0.0,0.0,0.09157370929912605,0.07930515857181443,0.0,0.0,0.0,0.10238251947232524,0.04578685464956302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23346806532415837,0.06475239082381763,0.0
SRR13342225,0.37986985122564737,0.8251112762332783,0.33404189442694865,0.023064813816456822,0.052848127601988336,0.16431150612991693,0.016309286256421793,0.016309286256421793,0.04754933180022853,0.08235785854394632,0.046129627632913645,0.011532406908228411,0.0,0.0,0.023064813816456822,0.011532406908228411,0.0,0.016309286256421793,0.0,0.10506522714507979,0.05649702486261471,0.0,0.011532406908228411,0.025787245790986905,0.016309286256421793,0.0,0.0,0.0,0.0,0.04892785876926537,0.0,0.016309286256421793,0.0,0.023064813816456822,0.04158068443713267,0.0,0.0
SRR13396075,0.7792880651870824,0.02834243291186894,0.16526336289198798,0.0,0.020041126507307314,0.010020563253653657,0.0,0.010020563253653657,0.0,0.0,0.6018180442036858,0.0,0.0,0.0,0.01735612467578583,0.010020563253653657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03749351451766872,0.0
SRR13396103,0.3769303685460225,0.8252641449679885,0.3371763013470212,0.025814726545598285,0.054149427228232745,0.16489125007185762,0.01632666661170022,0.01632666661170022,0.04897999983510066,0.07998400479840054,0.04617878670122087,0.011544696675305218,0.0,0.0,0.023089393350610436,0.011544696675305218,0.0,0.01632666661170022,0.0,0.1051771922517362,0.055366420242512315,0.0,0.011544696675305218,0.025814726545598285,0.01632666661170022,0.0,0.0,0.0,0.0,0.04897999983510066,0.0,0.01632666661170022,0.0,0.023089393350610436,0.03828942719045085,0.0,0.0
SRR1825760,0.684325095005726,0.2531143069201897,0.34415129147020906,0.07313131624032061,0.1454988537224276,0.17053087680619508,0.07538203534982252,0.057815381901368715,0.014927867417241517,0.06675945260811249,0.39916347067726493,0.014927867417241517,0.1474008802504491,0.0,0.11942293933793213,0.06921767368941929,0.0,0.033379726304056244,0.014927867417241517,0.2030409484339232,0.036565658120160306,0.17183265811696904,0.03166678883815557,0.023603030823749142,0.03166678883815557,0.04088164859934781,0.0,0.010555596279385189,0.010555596279385189,0.023603030823749142,0.018282829060080153,0.021111192558770378,0.0,0.018282829060080153,0.0,0.0,0.0
SRR23183348,0.6597976708265787,0.3462194595111513,0.359477392331059,0.08393199018452152,0.10225848090988197,0.19906219315048806,0.03147449631919557,0.05746430540045578,0.01049149877306519,0.09500456206640147,0.21577827548599884,0.023459704442429407,0.02569881863104548,0.01049149877306519,0.26583064694718067,0.16654737980321863,0.014837219854489478,0.01049149877306519,0.071156806696482,0.24671758189758447,0.10903085353497269,0.04325755761238587,0.02569881863104548,0.02569881863104548,0.03925559388256911,0.0679926830858997,0.014837219854489478,0.01049149877306519,0.0,0.061175424650571616,0.023459704442429407,0.014837219854489478,0.01049149877306519,0.0646739419488149,0.01049149877306519,0.02775789663386977,0.03479636491873127
SRR23183349,0.6485425007438984,0.36061528523890835,0.3618163386398194,0.07931375953258712,0.16953426057809487,0.18947352564339873,0.03754967786847219,0.046574643283262225,0.010414406840917831,0.09601608686617713,0.23907812825513394,0.020828813681835662,0.02550998273399919,0.010414406840917831,0.24951145322978988,0.1649952342702273,0.014728195398497138,0.014728195398497138,0.05510786110663679,0.2328732164163111,0.09713912021832184,0.03607656355832514,0.01803828177916257,0.029456390796994275,0.03454067990543495,0.08587939886651873,0.010414406840917831,0.010414406840917831,0.0,0.05207203420458916,0.02550998273399919,0.010414406840917831,0.0,0.053103263704334214,0.014728195398497138,0.03754967786847219,0.020828813681835662
SRR23183368,0.6475138829370859,0.41836896936092166,0.3144360928665395,0.09381109482564369,0.0884459484023292,0.19472620879807792,0.03127036494188123,0.04297700586899592,0.010423454980627076,0.09778067502588653,0.18143998831885794,0.020846909961254153,0.020846909961254153,0.018053953616852966,0.3076243949389935,0.13984532338254538,0.010423454980627076,0.014740991400388198,0.08658371987612913,0.2404182940336297,0.08905803839362642,0.052117274903135384,0.018053953616852966,0.032961858827007834,0.03610790723370593,0.07588389768493346,0.010423454980627076,0.010423454980627076,0.010423454980627076,0.0541618608505589,0.023307553897090896,0.010423454980627076,0.0,0.0442229742011646,0.010423454980627076,0.018053953616852966,0.020846909961254153
SRR26201959,0.4445552679052116,0.2368474240201746,0.29923816737193015,0.17128712569045368,0.12540276620964683,0.17197090935014459,0.030640772537152403,0.11617258082937103,0.0,0.06589547294951298,0.19073727084617892,0.015320386268576201,0.0,0.010833149020907498,0.5999452308453522,0.26755904358216964,0.018763564510176824,0.015320386268576201,0.10046249112474895,0.2251627741221219,0.057323636450048204,0.034257425138090734,0.015320386268576201,0.015320386268576201,0.035929490600356134,0.14207541745840666,0.04333259608362999,0.0,0.0,0.03752712902035365,0.015320386268576201,0.010833149020907498,0.0,0.028661818225024102,0.05307137481750909,0.0,0.0
SRR26201960,0.4300061011369572,0.22977983623577833,0.281616229528635,0.11887300779233738,0.09003352548008732,0.16315167365521221,0.029602840824914874,0.07326329321389147,0.0,0.051273624357126735,0.20669058762829715,0.010466184744841638,0.014801420412457437,0.014801420412457437,0.6560386267679589,0.27789642188192143,0.04680620110907439,0.018127963739468022,0.11369186746356305,0.17853973710613655,0.04053535921510179,0.029602840824914874,0.010466184744841638,0.010466184744841638,0.031398554234524916,0.12160607764530537,0.018127963739468022,0.0,0.0,0.031398554234524916,0.020932369489683276,0.010466184744841638,0.0,0.031398554234524916,0.07547273151201103,0.0,0.0
