srr_id,overall_status,download_status,classification_status,expected_fastq_files,local_fastq_paths,report_path,kraken_path,threads_used,started_at,completed_at,notes
SRR12376372,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR12376372_1.fastq.gz;raw_data/recovered_fastq/SRR12376372_2.fastq.gz,kraken_out/SRR12376372.report,kraken_out/SRR12376372.kraken,12,2026-03-15T10:16:38+00:00,2026-03-15T12:15:41+00:00,"Downloaded, validated, and classified successfully."
SRR13342225,completed,validated_present,completed,1,raw_data/recovered_fastq/SRR13342225_1.fastq.gz,kraken_out/SRR13342225.report,kraken_out/SRR13342225.kraken,12,2026-03-15T10:08:30+00:00,2026-03-15T10:09:28+00:00,"Downloaded, validated, and classified successfully."
SRR13396075,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR13396075_1.fastq.gz;raw_data/recovered_fastq/SRR13396075_2.fastq.gz,kraken_out/SRR13396075.report,kraken_out/SRR13396075.kraken,12,2026-03-15T10:01:26+00:00,2026-03-15T10:02:05+00:00,"Downloaded, validated, and classified successfully."
SRR13396103,completed,validated_present,completed,1,raw_data/recovered_fastq/SRR13396103_1.fastq.gz,kraken_out/SRR13396103.report,kraken_out/SRR13396103.kraken,12,2026-03-15T12:23:11+00:00,2026-03-15T12:24:05+00:00,"Downloaded, validated, and classified successfully."
SRR1825760,completed,validated_present,completed,1,raw_data/recovered_fastq/SRR1825760_1.fastq.gz,kraken_out/SRR1825760.report,kraken_out/SRR1825760.kraken,4,2026-03-15T09:30:25+00:00,2026-03-15T09:30:56+00:00,"Downloaded, validated, and classified successfully."
SRR23183348,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR23183348_1.fastq.gz;raw_data/recovered_fastq/SRR23183348_2.fastq.gz,kraken_out/SRR23183348.report,kraken_out/SRR23183348.kraken,4,2026-03-15T09:36:43+00:00,2026-03-15T09:37:30+00:00,"Downloaded, validated, and classified successfully."
SRR23183349,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR23183349_1.fastq.gz;raw_data/recovered_fastq/SRR23183349_2.fastq.gz,kraken_out/SRR23183349.report,kraken_out/SRR23183349.kraken,4,2026-03-15T09:32:24+00:00,2026-03-15T09:33:07+00:00,"Downloaded, validated, and classified successfully."
SRR23183368,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR23183368_1.fastq.gz;raw_data/recovered_fastq/SRR23183368_2.fastq.gz,kraken_out/SRR23183368.report,kraken_out/SRR23183368.kraken,4,2026-03-15T09:34:27+00:00,2026-03-15T09:35:24+00:00,"Downloaded, validated, and classified successfully."
SRR26201959,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR26201959_1.fastq.gz;raw_data/recovered_fastq/SRR26201959_2.fastq.gz,kraken_out/SRR26201959.report,kraken_out/SRR26201959.kraken,12,2026-03-15T12:30:01+00:00,2026-03-15T12:31:30+00:00,"Downloaded, validated, and classified successfully."
SRR26201960,completed,validated_present,completed,2,raw_data/recovered_fastq/SRR26201960_1.fastq.gz;raw_data/recovered_fastq/SRR26201960_2.fastq.gz,kraken_out/SRR26201960.report,kraken_out/SRR26201960.kraken,12,2026-03-15T13:10:16+00:00,2026-03-15T13:12:19+00:00,"Downloaded, validated, and classified successfully."
