srr_id,local_raw_presence,local_processed_presence,local_processed_paths,sample_accession,study_accession,experiment_accession,library_layout,library_source,fastq_ftp,fastq_md5,fastq_bytes,remote_fastq_total_bytes,recovery_attempt_status,recovered_now,still_missing,blocked,blocked_reason,recommended_execution_environment,https_download_command,wsl_kraken2_command,checkpoint_status
SRR12376372,present,present,kraken_out/SRR12376372.report;kraken_out/SRR12376372.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN15693165,PRJNA650132,SRX8875092,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_2.fastq.gz,c1a229bbc136deb72c97c4a79109feff;df3520a4a8e2ae12e0bb08a7bcf27de1,1611011798;1601499526,3212511324,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_1.fastq.gz' -o raw_data/recovered_fastq/SRR12376372_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_2.fastq.gz' -o raw_data/recovered_fastq/SRR12376372_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_1.fastq.gz' -O raw_data/recovered_fastq/SRR12376372_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_2.fastq.gz' -O raw_data/recovered_fastq/SRR12376372_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR12376372_1.fastq.gz raw_data/recovered_fastq/SRR12376372_2.fastq.gz --report kraken_out/SRR12376372.report --output kraken_out/SRR12376372.kraken,classified
SRR13342225,present,present,kraken_out/SRR13342225.report;kraken_out/SRR13342225.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN17201847,PRJNA689214,SRX9768638,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13342225/SRR13342225.fastq.gz,04a7419f5aa7d45e3a8450a252489119,68319394,68319394,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13342225/SRR13342225.fastq.gz' -o raw_data/recovered_fastq/SRR13342225.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13342225/SRR13342225.fastq.gz' -O raw_data/recovered_fastq/SRR13342225.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 raw_data/recovered_fastq/SRR13342225.fastq.gz --report kraken_out/SRR13342225.report --output kraken_out/SRR13342225.kraken,classified
SRR13396075,present,present,kraken_out/SRR13396075.report;kraken_out/SRR13396075.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN17271210,PRJNA689214,SRX9815210,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_2.fastq.gz,8f185dd227560a7065f1851587e37f29;09967913aa0c9f4c3c44e999e3fc5a47,17835622;19440313,37275935,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_1.fastq.gz' -o raw_data/recovered_fastq/SRR13396075_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_2.fastq.gz' -o raw_data/recovered_fastq/SRR13396075_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_1.fastq.gz' -O raw_data/recovered_fastq/SRR13396075_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_2.fastq.gz' -O raw_data/recovered_fastq/SRR13396075_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR13396075_1.fastq.gz raw_data/recovered_fastq/SRR13396075_2.fastq.gz --report kraken_out/SRR13396075.report --output kraken_out/SRR13396075.kraken,classified
SRR13396103,present,present,kraken_out/SRR13396103.report;kraken_out/SRR13396103.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN17271293,PRJNA689214,SRX9815238,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13396103/SRR13396103.fastq.gz,c980b641995ec423b04751ee8f50c04d,68667967,68667967,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13396103/SRR13396103.fastq.gz' -o raw_data/recovered_fastq/SRR13396103.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13396103/SRR13396103.fastq.gz' -O raw_data/recovered_fastq/SRR13396103.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 raw_data/recovered_fastq/SRR13396103.fastq.gz --report kraken_out/SRR13396103.report --output kraken_out/SRR13396103.kraken,classified
SRR1825760,present,present,kraken_out/SRR1825760.report;kraken_out/SRR1825760.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN03382613,PRJNA266108,SRX897055,SINGLE,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/000/SRR1825760/SRR1825760.fastq.gz,9456a970032bb2658b711f326281cf99,10956806,10956806,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/000/SRR1825760/SRR1825760.fastq.gz' -o raw_data/recovered_fastq/SRR1825760.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/000/SRR1825760/SRR1825760.fastq.gz' -O raw_data/recovered_fastq/SRR1825760.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 raw_data/recovered_fastq/SRR1825760.fastq.gz --report kraken_out/SRR1825760.report --output kraken_out/SRR1825760.kraken,classified
SRR23183348,present,present,kraken_out/SRR23183348.report;kraken_out/SRR23183348.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN32860474,PRJNA689214,SRX19133762,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_2.fastq.gz,8de91dfbeb6231617480385523d51a55;9710e536c63ffae3b74157153f1e98f7,12914335;15673000,28587335,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_1.fastq.gz' -o raw_data/recovered_fastq/SRR23183348_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_2.fastq.gz' -o raw_data/recovered_fastq/SRR23183348_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_1.fastq.gz' -O raw_data/recovered_fastq/SRR23183348_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_2.fastq.gz' -O raw_data/recovered_fastq/SRR23183348_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR23183348_1.fastq.gz raw_data/recovered_fastq/SRR23183348_2.fastq.gz --report kraken_out/SRR23183348.report --output kraken_out/SRR23183348.kraken,classified
SRR23183349,present,present,kraken_out/SRR23183349.report;kraken_out/SRR23183349.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN32860475,PRJNA689214,SRX19133763,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_2.fastq.gz,dff85f6a1bd150bff2343dda6944c639;6e64c40bfc85bc261cbd7b497b07442a,7382003;9220251,16602254,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_1.fastq.gz' -o raw_data/recovered_fastq/SRR23183349_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_2.fastq.gz' -o raw_data/recovered_fastq/SRR23183349_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_1.fastq.gz' -O raw_data/recovered_fastq/SRR23183349_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_2.fastq.gz' -O raw_data/recovered_fastq/SRR23183349_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR23183349_1.fastq.gz raw_data/recovered_fastq/SRR23183349_2.fastq.gz --report kraken_out/SRR23183349.report --output kraken_out/SRR23183349.kraken,classified
SRR23183368,present,present,kraken_out/SRR23183368.report;kraken_out/SRR23183368.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN32860476,PRJNA689214,SRX19133782,PAIRED,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_2.fastq.gz,2e706c5cae2d85ea615a32b23ada11bb;f17f03620906f499c1cdacdc587ca4b6,8392576;10944642,19337218,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_1.fastq.gz' -o raw_data/recovered_fastq/SRR23183368_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_2.fastq.gz' -o raw_data/recovered_fastq/SRR23183368_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_1.fastq.gz' -O raw_data/recovered_fastq/SRR23183368_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_2.fastq.gz' -O raw_data/recovered_fastq/SRR23183368_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR23183368_1.fastq.gz raw_data/recovered_fastq/SRR23183368_2.fastq.gz --report kraken_out/SRR23183368.report --output kraken_out/SRR23183368.kraken,classified
SRR26201959,present,present,kraken_out/SRR26201959.report;kraken_out/SRR26201959.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN37571899,PRJNA689214,SRX21913275,SINGLE,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_2.fastq.gz,03b0b1d6cb52eb68dd4d1d3a6e4bf16b;412931609aeb43f363b2a81724fcf482,46580083;48428890,95008973,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_1.fastq.gz' -o raw_data/recovered_fastq/SRR26201959_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_2.fastq.gz' -o raw_data/recovered_fastq/SRR26201959_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_1.fastq.gz' -O raw_data/recovered_fastq/SRR26201959_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_2.fastq.gz' -O raw_data/recovered_fastq/SRR26201959_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR26201959_1.fastq.gz raw_data/recovered_fastq/SRR26201959_2.fastq.gz --report kraken_out/SRR26201959.report --output kraken_out/SRR26201959.kraken,classified
SRR26201960,present,present,kraken_out/SRR26201960.report;kraken_out/SRR26201960.kraken;processed_data/current_best_taxonomy_matrix.csv,SAMN37571898,PRJNA689214,SRX21913274,SINGLE,METAGENOMIC,ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_2.fastq.gz,8b1613a79f1aa4abd72a02e3c368cdbe;e8d1cd8a376b55232ed5f82bdc1af23e,48657892;50483930,99141822,completed,recovered_and_classified,False,False,,Linux environment required,curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_1.fastq.gz' -o raw_data/recovered_fastq/SRR26201960_1.fastq.gz && curl -L 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_2.fastq.gz' -o raw_data/recovered_fastq/SRR26201960_2.fastq.gz,wget -c https://genome-idx.s3.amazonaws.com/kraken/minikraken2_v2_8GB_201904.tgz -O kraken_db/minikraken2_v2_8GB_201904.tgz && tar -xzf kraken_db/minikraken2_v2_8GB_201904.tgz -C kraken_db && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_1.fastq.gz' -O raw_data/recovered_fastq/SRR26201960_1.fastq.gz && wget -c 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_2.fastq.gz' -O raw_data/recovered_fastq/SRR26201960_2.fastq.gz && kraken2 --db kraken_db/minikraken2_v2_8GB_201904_UPDATE --threads 4 --paired raw_data/recovered_fastq/SRR26201960_1.fastq.gz raw_data/recovered_fastq/SRR26201960_2.fastq.gz --report kraken_out/SRR26201960.report --output kraken_out/SRR26201960.kraken,classified
