srr_id,run_accession,sample_accession,secondary_sample_accession,study_accession,experiment_accession,library_layout,library_source,scientific_name,fastq_ftp,fastq_md5,fastq_bytes,sample_title,remote_fastq_total_bytes,remote_fastq_url_count
SRR12376372,SRR12376372,SAMN15693165,SRS7135793,PRJNA650132,SRX8875092,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12376372/SRR12376372_2.fastq.gz,c1a229bbc136deb72c97c4a79109feff;df3520a4a8e2ae12e0bb08a7bcf27de1,1611011798;1601499526,MIMS Environmental/Metagenome sample from soil metagenome,3212511324,2
SRR13342225,SRR13342225,SAMN17201847,SRS7956686,PRJNA689214,SRX9768638,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13342225/SRR13342225.fastq.gz,04a7419f5aa7d45e3a8450a252489119,68319394,Metagenome or environmental sample from soil metagenome,68319394,1
SRR13396075,SRR13396075,SAMN17271210,SRS7998943,PRJNA689214,SRX9815210,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13396075/SRR13396075_2.fastq.gz,8f185dd227560a7065f1851587e37f29;09967913aa0c9f4c3c44e999e3fc5a47,17835622;19440313,Metagenome or environmental sample from soil metagenome,37275935,2
SRR13396103,SRR13396103,SAMN17271293,SRS7998969,PRJNA689214,SRX9815238,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13396103/SRR13396103.fastq.gz,c980b641995ec423b04751ee8f50c04d,68667967,Metagenome or environmental sample from soil metagenome,68667967,1
SRR1825760,SRR1825760,SAMN03382613,SRS862591,PRJNA266108,SRX897055,SINGLE,METAGENOMIC,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/000/SRR1825760/SRR1825760.fastq.gz,9456a970032bb2658b711f326281cf99,10956806,Metagenome or environmental sample from soil sediment,10956806,1
SRR23183348,SRR23183348,SAMN32860474,SRS16545332,PRJNA689214,SRX19133762,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/048/SRR23183348/SRR23183348_2.fastq.gz,8de91dfbeb6231617480385523d51a55;9710e536c63ffae3b74157153f1e98f7,12914335;15673000,Metagenome or environmental sample from soil metagenome,28587335,2
SRR23183349,SRR23183349,SAMN32860475,SRS16545333,PRJNA689214,SRX19133763,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/049/SRR23183349/SRR23183349_2.fastq.gz,dff85f6a1bd150bff2343dda6944c639;6e64c40bfc85bc261cbd7b497b07442a,7382003;9220251,Metagenome or environmental sample from soil metagenome,16602254,2
SRR23183368,SRR23183368,SAMN32860476,SRS16545352,PRJNA689214,SRX19133782,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/068/SRR23183368/SRR23183368_2.fastq.gz,2e706c5cae2d85ea615a32b23ada11bb;f17f03620906f499c1cdacdc587ca4b6,8392576;10944642,Metagenome or environmental sample from soil metagenome,19337218,2
SRR26201959,SRR26201959,SAMN37571899,SRS18998442,PRJNA689214,SRX21913275,SINGLE,METAGENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/059/SRR26201959/SRR26201959_2.fastq.gz,03b0b1d6cb52eb68dd4d1d3a6e4bf16b;412931609aeb43f363b2a81724fcf482,46580083;48428890,sample3,95008973,2
SRR26201960,SRR26201960,SAMN37571898,SRS18998441,PRJNA689214,SRX21913274,SINGLE,METAGENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/060/SRR26201960/SRR26201960_2.fastq.gz,8b1613a79f1aa4abd72a02e3c368cdbe;e8d1cd8a376b55232ed5f82bdc1af23e,48657892;50483930,sample2,99141822,2
