sample_accession,attribute_tag,attribute_value
SAMN15693165,collection_date,2017-11-10
SAMN15693165,insdc_secondary_accession,SRS7135793
SAMN15693165,ncbi_submission_package,MIMS.me.soil.5.0
SAMN15693165,depth,30cm
SAMN15693165,organism,soil metagenome
SAMN15693165,isolation_source,cotton rhizosphere
SAMN15693165,elev,268m MSL
SAMN15693165,env_broad_scale,Semi Arid Zone
SAMN15693165,geo_loc_name,"India: Alwar, Rajasthan"
SAMN15693165,env_medium,Soil
SAMN15693165,lat_lon,27.53 N 76.16 E
SAMN15693165,env_local_scale,Agricultural field
SAMN15693165,biosamplemodel,MIMS.me
SAMN15693165,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN15693165,ena_first_public,2020-08-03
SAMN15693165,ena_last_update,2021-02-28
SAMN17201847,collection_date,2019-09-22
SAMN17201847,insdc_secondary_accession,SRS7956686
SAMN17201847,ncbi_submission_package,Metagenome.environmental.1.0
SAMN17201847,organism,soil metagenome
SAMN17201847,geo_loc_name,India
SAMN17201847,lat_lon,20.5937 N 78.9629 E
SAMN17201847,isolation_source,soil
SAMN17201847,biosamplemodel,Metagenome or environmental
SAMN17201847,ena_first_public,2021-01-02
SAMN17201847,ena_last_update,2021-02-28
SAMN17271210,collection_date,2019-09-22
SAMN17271210,insdc_secondary_accession,SRS7998943
SAMN17271210,ncbi_submission_package,Metagenome.environmental.1.0
SAMN17271210,organism,soil metagenome
SAMN17271210,geo_loc_name,India
SAMN17271210,lat_lon,20.5937 N 78.9629 E
SAMN17271210,isolation_source,soil
SAMN17271210,biosamplemodel,Metagenome or environmental
SAMN17271210,ena_first_public,2021-01-10
SAMN17271210,ena_last_update,2021-02-28
SAMN17271293,collection_date,2019-09-22
SAMN17271293,insdc_secondary_accession,SRS7998969
SAMN17271293,ncbi_submission_package,Metagenome.environmental.1.0
SAMN17271293,organism,soil metagenome
SAMN17271293,geo_loc_name,India
SAMN17271293,lat_lon,20.5937 N 78.9629 E
SAMN17271293,isolation_source,soil
SAMN17271293,biosamplemodel,Metagenome or environmental
SAMN17271293,ena_first_public,2021-01-10
SAMN17271293,ena_last_update,2021-02-28
SAMN03382613,collection_date,2014-09-17
SAMN03382613,insdc_secondary_accession,SRS862591
SAMN03382613,ncbi_submission_package,Metagenome.environmental.1.0
SAMN03382613,organism,sediment metagenome
SAMN03382613,geo_loc_name,"India:Odisha, Paradip"
SAMN03382613,lat_lon,20.32 N 86.62 E
SAMN03382613,isolation_source,Soil sediment
SAMN03382613,biosamplemodel,Metagenome or environmental
SAMN03382613,ena_first_public,2015-03-03
SAMN03382613,ena_last_update,2015-03-04
SAMN32860474,collection_date,2020-12-23
SAMN32860474,insdc_secondary_accession,SRS16545332
SAMN32860474,ncbi_submission_package,Metagenome.environmental.1.0
SAMN32860474,organism,soil metagenome
SAMN32860474,geo_loc_name,India
SAMN32860474,lat_lon,20.5937 N 78.9629 E
SAMN32860474,isolation_source,soil
SAMN32860474,biosamplemodel,Metagenome or environmental
SAMN32860474,ena_first_public,2023-01-22
SAMN32860474,ena_last_update,2023-01-22
SAMN32860475,collection_date,2020-12-23
SAMN32860475,insdc_secondary_accession,SRS16545333
SAMN32860475,ncbi_submission_package,Metagenome.environmental.1.0
SAMN32860475,organism,soil metagenome
SAMN32860475,geo_loc_name,India
SAMN32860475,lat_lon,20.5937 N 78.9629 E
SAMN32860475,isolation_source,soil
SAMN32860475,biosamplemodel,Metagenome or environmental
SAMN32860475,ena_first_public,2023-01-22
SAMN32860475,ena_last_update,2023-01-22
SAMN32860476,collection_date,2020-12-23
SAMN32860476,insdc_secondary_accession,SRS16545352
SAMN32860476,ncbi_submission_package,Metagenome.environmental.1.0
SAMN32860476,organism,soil metagenome
SAMN32860476,geo_loc_name,India
SAMN32860476,lat_lon,20.5937 N 78.9629 E
SAMN32860476,isolation_source,soil
SAMN32860476,biosamplemodel,Metagenome or environmental
SAMN32860476,ena_first_public,2023-01-22
SAMN32860476,ena_last_update,2023-01-22
SAMN37571899,collection_date,2020-12-23
SAMN37571899,insdc_secondary_accession,SRS18998442
SAMN37571899,ncbi_submission_package,MIMS.me.soil.6.0
SAMN37571899,depth,soil surface
SAMN37571899,organism,metagenome
SAMN37571899,elev,surface
SAMN37571899,env_broad_scale,agricultural biome 3
SAMN37571899,geo_loc_name,India
SAMN37571899,env_medium,soil
SAMN37571899,lat_lon,23.8242 N 87.4542 E
SAMN37571899,env_local_scale,agricultural
SAMN37571899,biosamplemodel,MIMS.me
SAMN37571899,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN37571899,ena_first_public,2023-09-28
SAMN37571899,ena_last_update,2023-09-28
SAMN37571898,collection_date,2020-12-23
SAMN37571898,insdc_secondary_accession,SRS18998441
SAMN37571898,ncbi_submission_package,MIMS.me.soil.6.0
SAMN37571898,depth,soil surface
SAMN37571898,organism,metagenome
SAMN37571898,elev,surface
SAMN37571898,env_broad_scale,agricultural biome 2
SAMN37571898,geo_loc_name,India
SAMN37571898,env_medium,soil
SAMN37571898,lat_lon,23.8242 N 87.4542 E
SAMN37571898,env_local_scale,agricultural
SAMN37571898,biosamplemodel,MIMS.me
SAMN37571898,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN37571898,ena_first_public,2023-09-28
SAMN37571898,ena_last_update,2023-09-28
SAMN37571897,collection_date,2020-12-23
SAMN37571897,insdc_secondary_accession,SRS18998440
SAMN37571897,ncbi_submission_package,MIMS.me.soil.6.0
SAMN37571897,depth,soil surface
SAMN37571897,organism,metagenome
SAMN37571897,elev,surface
SAMN37571897,env_broad_scale,agricultural biome 1
SAMN37571897,geo_loc_name,India
SAMN37571897,env_medium,soil
SAMN37571897,lat_lon,23.8242 N 87.4542 E
SAMN37571897,env_local_scale,agricultural
