similarity_rank,sample_a,sample_b,genus_braycurtis_distance
1,SRR26201959,SRR26201961,0.005428042230747951
2,SRR13342225,SRR13396103,0.018189364618191636
3,SRR23183348,SRR23183349,0.14879878729210766
4,SRR33963322,SRR33963323,0.16988677722915707
5,SRR33963322,SRR33963324,0.1704283740211892
6,SRR26201959,SRR26201960,0.17845874209913412
7,SRR26201960,SRR26201961,0.1785595695895262
8,SRR23183348,SRR23183368,0.182937724051194
9,SRR33963317,SRR33963323,0.18438330352345478
10,SRR33963318,SRR33963319,0.1926510441574988
11,SRR33853917,SRR33963322,0.19506229458075444
12,SRR33853917,SRR33963323,0.20395246165756598
13,SRR33963319,SRR33963324,0.20605632350793465
14,SRR33963317,SRR33963322,0.208071431673918
15,SRR33963319,SRR33963320,0.21363293527579688
16,SRR33963323,SRR33963324,0.21530681653452988
17,SRR33963317,SRR9830591,0.2254708207393639
18,SRR33963317,SRR33963324,0.23092352843719788
19,SRR23183349,SRR23183368,0.23291767486986975
20,SRR33963318,SRR33963324,0.23510702172889947
21,SRR33853917,SRR33963317,0.2544151826027769
22,SRR33963319,SRR33963322,0.2570153765070771
23,SRR33963317,SRR33963319,0.26158692533217043
24,SRR33963317,SRR33963320,0.27829888764347044
25,SRR33963320,SRR33963324,0.2785026961003387
26,SRR33963320,SRR33963322,0.2812312066043416
27,SRR33963318,SRR33963322,0.28582064470566215
28,SRR33963320,SRR33963323,0.2875844242474787
29,SRR33963318,SRR33963320,0.290620070379806
30,SRR33963319,SRR33963323,0.29245582958623
31,SRR33963322,SRR9830591,0.2945604815352709
32,SRR33963323,SRR9830591,0.3017929873828671
33,SRR33853917,SRR33963324,0.30373522617686066
34,SRR33853917,SRR9830591,0.305979490877045
35,SRR33963317,SRR33963318,0.30660261148066
36,SRR33963324,SRR9830591,0.3151878062057724
37,SRR33963319,SRR9830591,0.32401852093387384
38,SRR33963318,SRR33963323,0.326679384112278
39,SRR33963320,SRR33963321,0.32794003087348994
40,SRR12376372,SRR9830591,0.33424254387539165
41,SRR33963321,SRR33963324,0.3357262420404155
42,SRR33963319,SRR33963321,0.33620415200592235
43,SRR12376372,SRR33963322,0.3456323159103592
44,SRR9093167,SRR9830591,0.34797237076648935
45,SRR33963320,SRR9830591,0.34844937522725233
46,SRR33963321,SRR33963322,0.35783278064052276
47,SRR12376372,SRR33963317,0.36012149507918545
48,SRR12376372,SRR33963323,0.3683588916801037
49,SRR33963318,SRR33963321,0.3690361831572215
50,SRR12376372,SRR33853917,0.3713520850614589
51,SRR33963318,SRR9830591,0.3718497746474807
52,SRR33853917,SRR33963318,0.378185804329954
53,SRR33963317,SRR33963321,0.3860190680138078
