srr_id,expected_or_detected,local_raw_presence,local_processed_presence,metadata_presence,status,remote_run_metadata_available,remote_sample_metadata_available,remote_fastq_available,remote_fastq_total_bytes,sample_accession,secondary_sample_accession,study_accession,experiment_accession,library_layout,library_source,scientific_name,recovery_attempt_status,recovered_now,still_missing,blocked,blocked_reason,evidence_source,local_raw_paths,local_processed_paths,notes
SRR12376372,expected,present,present,absent,processed_no_metadata,True,True,True,3212511324,SAMN15693165,SRS7135793,PRJNA650132,SRX8875092,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;dataset_audit_report.md;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;scripts/audit_srrs.py;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv,raw_data/recovered_fastq/SRR12376372_1.fastq.gz;raw_data/recovered_fastq/SRR12376372_2.fastq.gz,kraken_out/SRR12376372.report;kraken_out/SRR12376372.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR13342225,expected,present,present,present,processed_with_metadata,True,True,True,68319394,SAMN17201847,SRS7956686,PRJNA689214,SRX9768638,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR13342225_1.fastq.gz,kraken_out/SRR13342225.report;kraken_out/SRR13342225.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR13396075,expected,present,present,present,processed_with_metadata,True,True,True,37275935,SAMN17271210,SRS7998943,PRJNA689214,SRX9815210,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR13396075_1.fastq.gz;raw_data/recovered_fastq/SRR13396075_2.fastq.gz,kraken_out/SRR13396075.report;kraken_out/SRR13396075.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR13396103,expected,present,present,present,processed_with_metadata,True,True,True,68667967,SAMN17271293,SRS7998969,PRJNA689214,SRX9815238,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR13396103_1.fastq.gz,kraken_out/SRR13396103.report;kraken_out/SRR13396103.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR1825760,expected,present,present,present,processed_with_metadata,True,True,True,10956806,SAMN03382613,SRS862591,PRJNA266108,SRX897055,SINGLE,METAGENOMIC,sediment metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_subset_clean.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken.csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv;taxonomy_kraken2_minikraken.csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR1825760_1.fastq.gz,kraken_out/SRR1825760.report;kraken_out/SRR1825760.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR23183348,expected,present,present,present,processed_with_metadata,True,True,True,28587335,SAMN32860474,SRS16545332,PRJNA689214,SRX19133762,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR23183348_1.fastq.gz;raw_data/recovered_fastq/SRR23183348_2.fastq.gz,kraken_out/SRR23183348.report;kraken_out/SRR23183348.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR23183349,expected,present,present,present,processed_with_metadata,True,True,True,16602254,SAMN32860475,SRS16545333,PRJNA689214,SRX19133763,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR23183349_1.fastq.gz;raw_data/recovered_fastq/SRR23183349_2.fastq.gz,kraken_out/SRR23183349.report;kraken_out/SRR23183349.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR23183368,expected,present,present,present,processed_with_metadata,True,True,True,19337218,SAMN32860476,SRS16545352,PRJNA689214,SRX19133782,PAIRED,METAGENOMIC,soil metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR23183368_1.fastq.gz;raw_data/recovered_fastq/SRR23183368_2.fastq.gz,kraken_out/SRR23183368.report;kraken_out/SRR23183368.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR26201959,expected,present,present,present,processed_with_metadata,True,True,True,95008973,SAMN37571899,SRS18998442,PRJNA689214,SRX21913275,SINGLE,METAGENOMIC,metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR26201959_1.fastq.gz;raw_data/recovered_fastq/SRR26201959_2.fastq.gz,kraken_out/SRR26201959.report;kraken_out/SRR26201959.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
SRR26201960,expected,present,present,present,processed_with_metadata,True,True,True,99141822,SAMN37571898,SRS18998441,PRJNA689214,SRX21913274,SINGLE,METAGENOMIC,metagenome,completed,recovered_and_classified,False,False,,mentions=Anvitha.ipynb;Optimized_Taxonomy_ML.csv;cleaned_data/optimized_taxonomy_ml_clean.csv;cleaned_data/sample_metadata_observed.csv;cleaned_data/taxonomy_kraken2_minikraken_superset_clean.csv;outputs/extraction_manifest.csv;processed_data/current_best_taxonomy_matrix.csv;processed_data/sample_manifest.csv;raw_data/original_snapshot/Anvitha.ipynb;raw_data/original_snapshot/Optimized_Taxonomy_ML.csv;raw_data/original_snapshot/taxonomy_kraken2_minikraken (1).csv;srr_audit_report.csv;taxonomy_kraken2_minikraken (1).csv | processed=Optimized_Taxonomy_ML.csv;taxonomy_kraken2_minikraken (1).csv | metadata=Optimized_Taxonomy_ML.csv,raw_data/recovered_fastq/SRR26201960_1.fastq.gz;raw_data/recovered_fastq/SRR26201960_2.fastq.gz,kraken_out/SRR26201960.report;kraken_out/SRR26201960.kraken;processed_data/current_best_taxonomy_matrix.csv,Validated on-disk Kraken report/output files are present for this SRR.
